# field_out
#x y z t Bx By Bz Ex Ey Ez
0 0 0 0 0 0 4.00581 0 0 0 
0 0 50 0 0 0 4.00555 0 0 0 
0 0 100 0 0 0 3.99184 0 0 0 
0 0 150 0 0 0 3.96232 0 0 0 
0 0 200 0 0 0 3.91221 0 0 0 
0 0 250 0 0 0 3.83338 0 0 0 
0 0 300 0 0 0 3.71251 0 0 0 
0 0 350 0 0 0 3.52879 0 0 0 
0 0 400 0 0 0 3.25279 0 0 0 
0 0 450 0 0 0 2.85671 0 0 0 
0 0 500 0 0 0 2.36158 0 0 0 
0 0 550 0 0 0 1.88599 0 0 0 
0 0 600 0 0 0 1.55195 0 0 0 
0 0 650 0 0 0 1.39148 0 0 0 
0 0 700 0 0 0 1.39773 0 0 0 
0 0 750 0 0 0 1.57594 0 0 0 
0 0 800 0 0 0 1.95518 0 0 0 
0 0 850 0 0 0 2.56832 0 0 0 
0 0 900 0 0 0 3.35201 0 0 0 
0 0 950 0 0 0 4.01942 0 0 0 
0 0 1000 0 0 0 4.26703 0 0 0 
0 0 1050 0 0 0 4.00187 0 0 0 
0 0 1100 0 0 0 3.31447 0 0 0 
0 0 1150 0 0 0 2.50539 0 0 0 
0 0 1200 0 0 0 1.85738 0 0 0 
0 0 1250 0 0 0 1.42775 0 0 0 
0 0 1300 0 0 0 1.17401 0 0 0 
0 0 1350 0 0 0 1.05261 0 0 0 
0 0 1400 0 0 0 1.03848 0 0 0 
0 0 1450 0 0 0 1.12243 0 0 0 
0 0 1500 0 0 0 1.2996 0 0 0 
0 0 1550 0 0 0 1.55753 0 0 0 
0 0 1600 0 0 0 1.89906 0 0 0 
0 0 1650 0 0 0 2.37084 0 0 0 
0 0 1700 0 0 0 3.06371 0 0 0 
0 0 1750 0 0 0 4.08846 0 0 0 
0 0 1800 0 0 0 5.41128 0 0 0 
0 0 1850 0 0 0 6.65665 0 0 0 
0 0 1900 0 0 0 7.46521 0 0 0 
0 0 1950 0 0 0 7.93149 0 0 0 
0 0 2000 0 0 0 8.92649 0 0 0 
0 0 2050 0 0 0 13.0821 0 0 0 
0 0 2100 0 0 0 26.0838 0 0 0 
0 0 2150 0 0 0 38.3296 0 0 0 
0 0 2200 0 0 0 40.5728 0 0 0 
0 0 2250 0 0 0 40.712 0 0 0 
0 0 2300 0 0 0 40.6111 0 0 0 
0 0 2350 0 0 0 40.5407 0 0 0 
0 0 2400 0 0 0 40.49 0 0 0 
0 0 2450 0 0 0 40.4539 0 0 0 
0 0 2500 0 0 0 40.4285 0 0 0 
0 0 2550 0 0 0 40.4099 0 0 0 
0 0 2600 0 0 0 40.3956 0 0 0 
0 0 2650 0 0 0 40.3847 0 0 0 
0 0 2700 0 0 0 40.3762 0 0 0 
0 0 2750 0 0 0 40.3692 0 0 0 
0 0 2800 0 0 0 40.3637 0 0 0 
0 0 2850 0 0 0 40.3591 0 0 0 
0 0 2900 0 0 0 40.3549 0 0 0 
0 0 2950 0 0 0 40.3518 0 0 0 
0 0 3000 0 0 0 40.3491 0 0 0 
0 0 3050 0 0 0 40.347 0 0 0 
0 0 3100 0 0 0 40.3453 0 0 0 
0 0 3150 0 0 0 40.3443 0 0 0 
0 0 3200 0 0 0 40.3438 0 0 0 
0 0 3250 0 0 0 40.3443 0 0 0 
0 0 3300 0 0 0 40.3466 0 0 0 
0 0 3350 0 0 0 40.3504 0 0 0 
0 0 3400 0 0 0 40.3586 0 0 0 
0 0 3450 0 0 0 40.3725 0 0 0 
0 0 3500 0 0 0 40.3936 0 0 0 
0 0 3550 0 0 0 40.3983 0 0 0 
0 0 3600 0 0 0 40.0904 0 0 0 
0 0 3650 0 0 0 36.2316 0 0 0 
0 0 3700 0 0 0 21.7504 0 0 0 
0 0 3750 0 0 0 10.4301 0 0 0 
0 0 3800 0 0 0 6.89759 0 0 0 
0 0 3850 0 0 0 5.83612 0 0 0 
0 0 3900 0 0 0 5.20934 0 0 0 
0 0 3950 0 0 0 4.43161 0 0 0 
0 0 4000 0 0 0 3.43359 0 0 0 
0 0 4050 0 0 0 2.43913 0 0 19 
0 0 4100 0 0 0 1.64941 0 0 19 
0 0 4150 0 0 0 1.0723 0 0 19 
0 0 4200 0 0 0 0.638198 0 0 19 
0 0 4250 0 0 0 0.279104 0 0 19 
0 0 4300 0 0 0 -0.0501343 0 0 0 
0 0 4350 0 0 0 -0.352507 0 0 0 
0 0 4400 0 0 0 -0.581518 0 0 0 
0 0 4450 0 0 0 -0.69178 0 0 0 
0 0 4500 0 0 0 -0.680047 0 0 0 
0 0 4550 0 0 0 -0.583321 0 0 0 
0 0 4600 0 0 0 -0.474218 0 0 19 
0 0 4650 0 0 0 -0.41252 0 0 19 
0 0 4700 0 0 0 -0.416335 0 0 19 
0 0 4750 0 0 0 -0.490146 0 0 19 
0 0 4800 0 0 0 -0.641941 0 0 19 
0 0 4850 0 0 0 -0.873872 0 0 0 
0 0 4900 0 0 0 -1.14505 0 0 0 
0 0 4950 0 0 0 -1.35132 0 0 0 
0 0 5000 0 0 0 -1.40002 0 0 0 
0 0 5050 0 0 0 -1.27137 0 0 0 
0 0 5100 0 0 0 -1.0127 0 0 0 
0 0 5150 0 0 0 -0.728515 0 0 19 
0 0 5200 0 0 0 -0.500864 0 0 19 
0 0 5250 0 0 0 -0.340438 0 0 19 
0 0 5300 0 0 0 -0.228909 0 0 19 
0 0 5350 0 0 0 -0.147705 0 0 19 
0 0 5400 0 0 0 -0.0843061 0 0 0 
0 0 5450 0 0 0 -0.0348307 0 0 0 
0 0 5500 0 0 0 -0.00450396 0 0 0 
0 0 5550 0 0 0 0.000224011 0 0 0 
0 0 5600 0 0 0 -0.0221903 0 0 0 
0 0 5650 0 0 0 -0.0688315 0 0 0 
0 0 5700 0 0 0 -0.133572 0 0 19 
0 0 5750 0 0 0 -0.215209 0 0 19 
0 0 5800 0 0 0 -0.323277 0 0 19 
0 0 5850 0 0 0 -0.475602 0 0 19 
0 0 5900 0 0 0 -0.694574 0 0 19 
0 0 5950 0 0 0 -0.99179 0 0 0 
0 0 6000 0 0 0 -1.32487 0 0 0 
0 0 6050 0 0 0 -1.57485 0 0 0 
0 0 6100 0 0 0 -1.63472 0 0 0 
0 0 6150 0 0 0 -1.48236 0 0 0 
0 0 6200 0 0 0 -1.17389 0 0 0 
0 0 6250 0 0 0 -0.832132 0 0 19 
0 0 6300 0 0 0 -0.552903 0 0 19 
0 0 6350 0 0 0 -0.347434 0 0 19 
0 0 6400 0 0 0 -0.191974 0 0 19 
0 0 6450 0 0 0 -0.0617506 0 0 19 
0 0 6500 0 0 0 0.0597685 0 0 0 
0 0 6550 0 0 0 0.17247 0 0 0 
0 0 6600 0 0 0 0.256266 0 0 0 
0 0 6650 0 0 0 0.291794 0 0 0 
0 0 6700 0 0 0 0.27693 0 0 0 
0 0 6750 0 0 0 0.22604 0 0 0 
0 0 6800 0 0 0 0.167846 0 0 19 
0 0 6850 0 0 0 0.125364 0 0 19 
0 0 6900 0 0 0 0.103746 0 0 19 
0 0 6950 0 0 0 0.101482 0 0 19 
0 0 7000 0 0 0 0.117625 0 0 19 
0 0 7050 0 0 0 0.150479 0 0 0 
0 0 7100 0 0 0 0.191537 0 0 0 
0 0 7150 0 0 0 0.21984 0 0 0 
0 0 7200 0 0 0 0.216857 0 0 0 
0 0 7250 0 0 0 0.177478 0 0 0 
0 0 7300 0 0 0 0.108658 0 0 0 
0 0 7350 0 0 0 0.0271445 0 0 19 
0 0 7400 0 0 0 -0.0560789 0 0 19 
0 0 7450 0 0 0 -0.145848 0 0 19 
0 0 7500 0 0 0 -0.255838 0 0 19 
0 0 7550 0 0 0 -0.402485 0 0 19 
0 0 7600 0 0 0 -0.594386 0 0 0 
0 0 7650 0 0 0 -0.804456 0 0 0 
0 0 7700 0 0 0 -0.955319 0 0 0 
0 0 7750 0 0 0 -0.976662 0 0 0 
0 0 7800 0 0 0 -0.851687 0 0 0 
0 0 7850 0 0 0 -0.612569 0 0 0 
0 0 7900 0 0 0 -0.332029 0 0 19 
0 0 7950 0 0 0 -0.0613955 0 0 19 
0 0 8000 0 0 0 0.208724 0 0 19 
0 0 8050 0 0 0 0.518671 0 0 19 
0 0 8100 0 0 0 0.916524 0 0 19 
0 0 8150 0 0 0 1.42808 0 0 0 
0 0 8200 0 0 0 1.98403 0 0 0 
0 0 8250 0 0 0 2.38183 0 0 0 
0 0 8300 0 0 0 2.43704 0 0 0 
0 0 8350 0 0 0 2.10725 0 0 0 
0 0 8400 0 0 0 1.48003 0 0 0 
0 0 8450 0 0 0 0.751398 0 0 19 
0 0 8500 0 0 0 0.0632974 0 0 19 
0 0 8550 0 0 0 -0.599072 0 0 19 
0 0 8600 0 0 0 -1.32753 0 0 19 
0 0 8650 0 0 0 -2.2318 0 0 19 
0 0 8700 0 0 0 -3.38396 0 0 0 
0 0 8750 0 0 0 -4.68783 0 0 0 
0 0 8800 0 0 0 -5.8249 0 0 0 
0 0 8850 0 0 0 -6.57579 0 0 0 
0 0 8900 0 0 0 -7.19063 0 0 0 
0 0 8950 0 0 0 -8.72303 0 0 0 
0 0 9000 0 0 0 -14.4326 0 0 0 
0 0 9050 0 0 0 -29.326 0 0 0 
0 0 9100 0 0 0 -39.0217 0 0 0 
0 0 9150 0 0 0 -40.4841 0 0 0 
0 0 9200 0 0 0 -40.5413 0 0 0 
0 0 9250 0 0 0 -40.4776 0 0 0 
0 0 9300 0 0 0 -40.4308 0 0 0 
0 0 9350 0 0 0 -40.4016 0 0 0 
0 0 9400 0 0 0 -40.3813 0 0 0 
0 0 9450 0 0 0 -40.3679 0 0 0 
0 0 9500 0 0 0 -40.3584 0 0 0 
0 0 9550 0 0 0 -40.3515 0 0 0 
0 0 9600 0 0 0 -40.3465 0 0 0 
0 0 9650 0 0 0 -40.3428 0 0 0 
0 0 9700 0 0 0 -40.34 0 0 0 
0 0 9750 0 0 0 -40.3374 0 0 0 
0 0 9800 0 0 0 -40.3356 0 0 0 
0 0 9850 0 0 0 -40.334 0 0 0 
0 0 9900 0 0 0 -40.333 0 0 0 
0 0 9950 0 0 0 -40.3316 0 0 0 
0 0 10000 0 0 0 -40.3303 0 0 0 
0 0 10050 0 0 0 -40.3289 0 0 0 
0 0 10100 0 0 0 -40.3275 0 0 0 
0 0 10150 0 0 0 -40.3259 0 0 0 
0 0 10200 0 0 0 -40.3242 0 0 0 
0 0 10250 0 0 0 -40.3223 0 0 0 
0 0 10300 0 0 0 -40.3201 0 0 0 
0 0 10350 0 0 0 -40.3187 0 0 0 
0 0 10400 0 0 0 -40.3172 0 0 0 
0 0 10450 0 0 0 -40.3181 0 0 0 
0 0 10500 0 0 0 -40.3234 0 0 0 
0 0 10550 0 0 0 -40.2639 0 0 0 
0 0 10600 0 0 0 -39.4684 0 0 0 
0 0 10650 0 0 0 -33.3019 0 0 0 
0 0 10700 0 0 0 -17.3355 0 0 0 
0 0 10750 0 0 0 -8.51279 0 0 0 
0 0 10800 0 0 0 -5.79187 0 0 0 
0 0 10850 0 0 0 -4.82993 0 0 0 
0 0 10900 0 0 0 -4.22578 0 0 0 
0 0 10950 0 0 0 -3.54919 0 0 0 
0 0 11000 0 0 0 -2.79518 0 0 0 
0 0 11050 0 0 0 -2.13574 0 0 32 
0 0 11100 0 0 0 -1.68782 0 0 32 
0 0 11150 0 0 0 -1.45711 0 0 32 
0 0 11200 0 0 0 -1.41887 0 0 32 
0 0 11250 0 0 0 -1.55961 0 0 32 
0 0 11300 0 0 0 -1.85155 0 0 0 
0 0 11350 0 0 0 -2.18825 0 0 0 
0 0 11400 0 0 0 -2.39835 0 0 0 
0 0 11450 0 0 0 -2.36318 0 0 0 
0 0 11500 0 0 0 -2.07508 0 0 0 
0 0 11550 0 0 0 -1.63566 0 0 0 
0 0 11600 0 0 0 -1.20413 0 0 32 
0 0 11650 0 0 0 -0.876449 0 0 32 
0 0 11700 0 0 0 -0.656797 0 0 32 
0 0 11750 0 0 0 -0.519718 0 0 32 
0 0 11800 0 0 0 -0.442842 0 0 32 
0 0 11850 0 0 0 -0.408912 0 0 0 
0 0 11900 0 0 0 -0.398078 0 0 0 
0 0 11950 0 0 0 -0.38751 0 0 0 
0 0 12000 0 0 0 -0.361728 0 0 0 
0 0 12050 0 0 0 -0.317549 0 0 0 
0 0 12100 0 0 0 -0.263574 0 0 0 
0 0 12150 0 0 0 -0.214596 0 0 32 
0 0 12200 0 0 0 -0.179721 0 0 32 
0 0 12250 0 0 0 -0.15946 0 0 32 
0 0 12300 0 0 0 -0.151835 0 0 32 
0 0 12350 0 0 0 -0.155494 0 0 32 
0 0 12400 0 0 0 -0.169093 0 0 0 
0 0 12450 0 0 0 -0.188963 0 0 0 
0 0 12500 0 0 0 -0.209649 0 0 0 
0 0 12550 0 0 0 -0.228331 0 0 0 
0 0 12600 0 0 0 -0.247247 0 0 0 
0 0 12650 0 0 0 -0.27413 0 0 0 
0 0 12700 0 0 0 -0.321193 0 0 32 
0 0 12750 0 0 0 -0.402065 0 0 32 
0 0 12800 0 0 0 -0.532683 0 0 32 
0 0 12850 0 0 0 -0.73521 0 0 32 
0 0 12900 0 0 0 -1.03512 0 0 32 
0 0 12950 0 0 0 -1.43184 0 0 0 
0 0 13000 0 0 0 -1.83997 0 0 0 
0 0 13050 0 0 0 -2.10574 0 0 0 
0 0 13100 0 0 0 -2.12246 0 0 0 
0 0 13150 0 0 0 -1.88816 0 0 0 
0 0 13200 0 0 0 -1.5052 0 0 0 
0 0 13250 0 0 0 -1.13104 0 0 16 
0 0 13300 0 0 0 -0.863064 0 0 16 
0 0 13350 0 0 0 -0.711929 0 0 16 
0 0 13400 0 0 0 -0.661941 0 0 16 
0 0 13450 0 0 0 -0.70143 0 0 16 
0 0 13500 0 0 0 -0.814055 0 0 0 
0 0 13550 0 0 0 -0.95056 0 0 0 
0 0 13600 0 0 0 -1.03428 0 0 0 
0 0 13650 0 0 0 -1.01217 0 0 0 
0 0 13700 0 0 0 -0.880047 0 0 0 
0 0 13750 0 0 0 -0.681649 0 0 0 
0 0 13800 0 0 0 -0.48593 0 0 16 
0 0 13850 0 0 0 -0.334101 0 0 16 
0 0 13900 0 0 0 -0.227044 0 0 16 
0 0 13950 0 0 0 -0.152297 0 0 16 
0 0 14000 0 0 0 -0.098613 0 0 16 
