,element,name,centre,length,material,inner radius,outer radius,field on-axis,current density,nsheets,gradient,frequency,phase,wedge angle
0,solenoid,L0,0,1000.0,,0.1,0.3,4,17.0,5,,,,
1,absorber,abs2,9.857955034999998,1325.18469,LH2,0,25,,,,,,,
11,solenoid,H2,9.857955034999998,1565.18469,,30,90,40,-535.3,3,,,,
2,absorber,abs3,16.73515629,1105.21782,LH2,0,25,,,,,,,
12,solenoid,H3,16.73515629,1345.21782,,30,90,40,535.3,3,,,,
3,absorber,abs4,23.51875589000001,1137.98138,LH2,0,25,,,,,,,
13,solenoid,H4,23.51875589000001,1377.98138,,30,90,40,-535.3,3,,,,
4,absorber,abs5,30.157622990000018,815.75282,LH2,0,25,,,,,,,
14,solenoid,H5,30.157622990000018,1055.75282,,30,90,40,535.3,3,,,,
5,absorber,abs6,36.44578281500002,436.56683000000004,LH2,0,25,,,,,,,
15,solenoid,H6,36.44578281500002,676.5668300000001,,30,90,40,-535.3,3,,,,
6,absorber,abs7,42.47727580000003,302.41913999999997,LH2,0,25,,,,,,,
16,solenoid,H7,42.47727580000003,542.41914,,30,90,40,535.3,3,,,,
7,absorber,abs8,48.34272790500004,104.48507,LH2,0,25,,,,,,,
17,solenoid,H8,48.34272790500004,344.48507,,30,90,40,-535.3,3,,,,
8,absorber,abs9,54.11657186000004,119.20284000000001,LH2,0,25,,,,,,,
18,solenoid,H9,54.11657186000004,359.20284000000004,,30,90,40,535.3,3,,,,
9,absorber,abs10,59.88367816500004,91.00977,LH2,0,25,,,,,,,
19,solenoid,H10,59.88367816500004,331.00977,,30,90,40,-535.3,3,,,,
20,solenoid,H1corr1_U,2.1060000000000003,12.0,,0.03,0.135,,535.3,3,,,,
21,solenoid,H1corr2_U,2.1180000000000003,12.0,,0.03,0.125,,535.3,3,,,,
22,solenoid,H1corr3_U,2.1300000000000003,12.0,,0.03,0.115,,535.3,3,,,,
23,solenoid,H2corr1_U,9.045362689999997,12.0,,0.03,0.135,,-535.3,3,,,,
24,solenoid,H2corr2_U,9.057362689999998,12.0,,0.03,0.125,,-535.3,3,,,,
25,solenoid,H2corr3_U,9.069362689999998,12.0,,0.03,0.115,,-535.3,3,,,,
26,solenoid,H3corr1_U,16.03254738,12.0,,0.03,0.135,,535.3,3,,,,
27,solenoid,H3corr2_U,16.04454738,12.0,,0.03,0.125,,535.3,3,,,,
28,solenoid,H3corr3_U,16.056547379999998,12.0,,0.03,0.115,,535.3,3,,,,
29,solenoid,H4corr1_U,22.79976520000001,12.0,,0.03,0.135,,-535.3,3,,,,
30,solenoid,H4corr2_U,22.811765200000007,12.0,,0.03,0.125,,-535.3,3,,,,
31,solenoid,H4corr3_U,22.823765200000008,12.0,,0.03,0.115,,-535.3,3,,,,
32,solenoid,H5corr1_U,29.59974658000002,12.0,,0.03,0.135,,535.3,3,,,,
33,solenoid,H5corr2_U,29.61174658000002,12.0,,0.03,0.125,,535.3,3,,,,
34,solenoid,H5corr3_U,29.623746580000017,12.0,,0.03,0.115,,535.3,3,,,,
35,solenoid,H6corr1_U,36.07749940000002,12.0,,0.03,0.135,,-535.3,3,,,,
36,solenoid,H6corr2_U,36.08949940000002,12.0,,0.03,0.125,,-535.3,3,,,,
37,solenoid,H6corr3_U,36.10149940000002,12.0,,0.03,0.115,,-535.3,3,,,,
38,solenoid,H7corr1_U,42.17606623000003,12.0,,0.03,0.135,,535.3,3,,,,
39,solenoid,H7corr2_U,42.18806623000003,12.0,,0.03,0.125,,535.3,3,,,,
40,solenoid,H7corr3_U,42.20006623000003,12.0,,0.03,0.115,,535.3,3,,,,
41,solenoid,H8corr1_U,48.14048537000004,12.0,,0.03,0.135,,-535.3,3,,,,
42,solenoid,H8corr2_U,48.152485370000036,12.0,,0.03,0.125,,-535.3,3,,,,
43,solenoid,H8corr3_U,48.16448537000004,12.0,,0.03,0.115,,-535.3,3,,,,
44,solenoid,H9corr1_U,53.906970440000045,12.0,,0.03,0.135,,535.3,3,,,,
